Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism
Hyperolius_mariae	23.3	24.55	3.15	3.2	0.054	0.946	Hyperoliinae	Hyperolioids	Clade1	Mono
Hyperolius_mitchelli	25.16	27.24	3.22	3.3	0.083	0.917	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_molleri	27.54	35.37	3.31	3.56	0.284	0.716	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_montanus	24.78	32.61	3.21	3.48	0.316	0.684	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_mosaicus	23.32	27.66	3.15	3.32	0.186	0.814	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_nasutus	18.92	19.61	2.94	2.97	0.036	0.964	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_pictus	29	38	3.37	3.64	0.31	0.69	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_pusillus	20.17	20.25	3	3.01	0.004	0.996	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_quinquevittatus	20.12	25.38	3	3.23	0.261	0.739	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_reesi	22	26	3.09	3.26	0.182	0.818	Hyperoliinae	Hyperolioids	Clade1	Mono
Hyperolius_rubrovermiculatus	24.47	30.18	3.2	3.4	0.233	0.767	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_rwandae	19.76	19.2	2.98	2.95	-0.029	1.029	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_semidiscus	29.42	32.5	3.38	3.48	0.105	0.895	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_spinigularis	19.59	24.5	2.97	3.2	0.251	0.749	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_substriatus	27.21	33.63	3.3	3.51	0.236	0.764	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_tanneri	22.22	25.66	3.1	3.24	0.155	0.845	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_thomensis	38.78	44.27	3.66	3.79	0.142	0.858	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_veithi	25.7	33.9	3.25	3.52	0.319	0.681	Hyperoliinae	Hyperolioids	Clade2	Mono
Opisthothylax_immaculatus	29.82	32.33	3.4	3.48	0.084	0.916	Hyperoliinae	Opistho	na	Mono
