Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism	Ecology	Sex
Hyperolius_mosaicus	23.32	27.66	3.15	3.32	0.186	0.814	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_nasutus	18.92	19.61	2.94	2.97	0.036	0.964	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_nitidulus_1	29.58	33.98	3.39	3.53	0.149	0.851	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_nitidulus_2	28.65	29.23	3.35	3.37	0.02	0.98	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_occidentalis	25.53	31.04	3.24	3.43	0.216	0.784	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_ocellatus_ocellatus	22.78	28.19	3.13	3.33	0.237	0.763	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_ocellatus_purpurescens	21.45	26.06	3.06	3.26	0.215	0.785	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_olivaceus	22.61	25.96	3.12	3.26	0.148	0.852	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_parallelus_alborufus	30.45	30.22	3.42	3.41	-0.008	1.008	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_parallelus_parallelus	28.43	28.32	3.34	3.34	-0.004	1.004	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_parallelus_pyrrhodictyon	30.48	30.16	3.42	3.41	-0.011	1.011	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_pardalis	23.21	28.19	3.14	3.34	0.215	0.785	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_parkeri	21.99	20.47	3.09	3.02	-0.074	1.074	Hyperoliinae	Hyperolioids	na	Dichro	Arboreal	normal
Hyperolius_phantasticus	30.17	35.63	3.4	3.57	0.181	0.819	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_picturatus	27.94	31.77	3.33	3.46	0.137	0.863	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_pictus	29	38	3.37	3.64	0.31	0.69	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_platyceps	23.95	28.69	3.18	3.36	0.198	0.802	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_pusillus	20.17	20.25	3	3.01	0.004	0.996	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_quinquevittatus	20.12	25.38	3	3.23	0.261	0.739	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_raymondii	19.8	22.7	2.99	3.12	0.146	0.854	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_reesi	22	26	3.09	3.26	0.182	0.818	Hyperoliinae	Hyperolioids	Clade1	Mono	Arboreal	normal
Hyperolius_riggenbachi	27.68	34.96	3.32	3.55	0.263	0.737	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_rubrovermiculatus	24.47	30.18	3.2	3.4	0.233	0.767	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_rwandae	19.76	19.2	2.98	2.95	-0.029	1.029	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_semidiscus	29.42	32.5	3.38	3.48	0.105	0.895	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_spatzi	29	30.6	3.37	3.42	0.055	0.945	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_spinigularis	19.59	24.5	2.97	3.2	0.251	0.749	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_steindachneri	29	33	3.37	3.5	0.138	0.862	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_substriatus	27.21	33.63	3.3	3.51	0.236	0.764	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_sylvaticus	24.35	29.93	3.19	3.4	0.229	0.771	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_tanneri	22.22	25.66	3.1	3.24	0.155	0.845	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_thomensis	38.78	44.27	3.66	3.79	0.142	0.858	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_torrentis	35.66	40.82	3.57	3.71	0.145	0.855	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_tuberculatus	28.8	31.08	3.36	3.43	0.079	0.921	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
