Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism	Ecology	Sex
Hyperolius_spatzi	29	30.6	3.37	3.42	0.055	0.945	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_spinigularis	19.59	24.5	2.97	3.2	0.251	0.749	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_steindachneri	29	33	3.37	3.5	0.138	0.862	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_substriatus	27.21	33.63	3.3	3.51	0.236	0.764	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_sylvaticus	24.35	29.93	3.19	3.4	0.229	0.771	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_tanneri	22.22	25.66	3.1	3.24	0.155	0.845	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_thomensis	38.78	44.27	3.66	3.79	0.142	0.858	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_torrentis	35.66	40.82	3.57	3.71	0.145	0.855	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_tuberculatus	28.8	31.08	3.36	3.43	0.079	0.921	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_tuberilinguis	26.7	31.43	3.28	3.45	0.177	0.823	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_veithi	25.7	33.9	3.25	3.52	0.319	0.681	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_viridiflavus_glandicolor	29.74	29.79	3.39	3.39	0.002	0.998	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_ngorongoriensis	29.55	30.11	3.38	3.4	0.019	0.981	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_pantherinus	31.88	37.14	3.46	3.61	0.165	0.835	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_pitmani	31.01	33.85	3.43	3.52	0.092	0.908	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Kassina_arboricola	39.85	37.94	3.68	3.64	-0.05	1.05	Kassininae	Kassininae	na	Mono	Arboreal	normal
Kassina_cochranae	36.1	36.03	3.59	3.58	-0.002	1.002	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Kassina_fusca	34.36	36.88	3.54	3.61	0.073	0.927	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Kassina_kuvangensis	42.58	48.1	3.75	3.87	0.13	0.87	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Kassina_schioetzi	37.7	38.1	3.63	3.64	0.011	0.989	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Kassina_senegalensis	34.24	34.01	3.53	3.53	-0.007	1.007	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Morerella_cyanophthalma	29	32.3	3.37	3.48	0.114	0.886	Hyperoliinae	Hyperolioids	na	Dichro	Arboreal	normal
Opisthothylax_immaculatus	29.82	32.33	3.4	3.48	0.084	0.916	Hyperoliinae	Opistho	na	Mono	Arboreal	normal
Paracassina_kounhiensis	49	47.9	3.89	3.87	-0.023	1.023	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Phlyctimantis_leonardi	46.16	47.64	3.83	3.86	0.032	0.968	Kassininae	Kassininae	na	Mono	Arboreal	normal
Phlyctimantis_maculata	60.22	62.58	4.09	4.14	0.039	0.961	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Phlyctimantis_verrucosus	48.54	49.59	3.88	3.9	0.022	0.978	Kassininae	Kassininae	na	Mono	Arboreal	normal
Semnodactylus_wealii	33.16	37.26	3.5	3.62	0.124	0.876	Kassininae	Kassininae	na	Mono	Terrestrial	normal
Tachycnemis_seychellensis	43.18	56.66	3.76	4.03	0.312	0.688	Hyperoliinae	Afrixaloids	na	Dichro	Arboreal	normal
Hyperolius_mariae_2	23.3	24.55	3.15	3.2	0.054	NA	Hyperoliinae	Hyperolioids	Clade1	Mono	Arboreal	change
Hyperolius_marmoratus_argentovittis	33.1	30.81	3.5	3.43	-0.074	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_marmoratus_verrucosus	27.82	26.48	3.33	3.28	-0.051	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_ferniquei	31.13	32.57	3.44	3.48	0.046	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_goetzei	25.78	26.59	3.25	3.28	0.031	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_rubripes	22.71	24	3.12	3.18	0.057	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_viridiflavus	27.03	27.47	3.3	3.31	0.016	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
